Nome_A;Endereco_A;Nome_B;Endereco_B;Similaridade
Hospital Criança;Rua das Perobas 344, , São Paulo, SP, 04321-120;Hospital NSLourdes;Rua das Perobas 324, , São Paulo, SP, 04321-120;0.75
Instituto de Especialidade Pediatricas de Sao Paulo - Hosp;Rua Das Perobas, 344,  Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;Instituto de Espec Pediatricas de SP - Hospital da Crianca;Rua Das Perobas, 344, Sem Complemento, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;0.85
Instituto de Especialidade Pediatricas de Sao Paulo - Hosp;Rua Das Perobas, 344,  Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;Hospital e Maternidade Nossa Senhora de Lourdes;Rua Das Perobas, 324, Sem Complemento, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;0.71
Instituto de Especialidade Pediatricas de Sao Paulo - Hosp;Rua Das Perobas, 344,  Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;Acordo Rede Dor - Hospital Nossa Senhora de Lourdes;Rua Das Perobas, S/n, Sem Complemento, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120;0.77
IMOVEL CESTO;RUA RIO DE JANEIRO,18-CENTRO -BELO HORIZONTE -MG;64 Unidades Standard no Hotel;Rua Rio de Janeiro nº 18 - Centro - Belo Horizonte - Minas Gerais;0.73
Centro Empresarial Nações Unidas - Torre Norte;Av. Nações Unidas 12901, São Paulo, SP, 04794-000;Condomínio WT Morumbi - Ala A;Av. Nações Unidas 14261, , São Paulo, SP, 04794-000;0.75
CARJ;Rua Barão de São Francisco 177, Shopping, Rio de Janeiro, RJ, 01007-070;Shopping Boulevard;Rua Barão de São Francisco, 236 - Rio de Janeiro/RJ;0.73
Parque Dom Pedro Shopping;Av. Guilherme Campos 500, Campinas, SP, 13087-901;Shopping Parque Dom Pedro - 10,53%;Av. Guilherme Campos 500, Campinas - SP;0.83
RÓTULA SALVADOR;Av. Antônio Carlos Magalhães, 6365;CIDADELA - CEF;Av. Antônio Carlos Magalhães,;0.8
Expansão Lubrax;Duque de Caxias - RJ;Santander - Ag. São João - Duque de Caxias;Av. Duque de Caxias - SP;0.75
Shopping Villa Lobos - 15%;Av. das Nações Unidas, 4777, São Paulo - SP;Torre Ebony;Av. Das Nações Unidas, 14171, São Paulo - SP;0.75
Shopping Villa Lobos - 15%;Av. das Nações Unidas, 4777, São Paulo - SP;ED NAÇÕES UNIDAS;AV DAS NAÇÕES UNIDAS, 19707, SÃO PAULO - SP;0.75
Barry;RUA "A" , QUADRA "D" LOTES  11, 12 E 13 - ILHÉUS - BA;Barry;Rua América, s/ número (antiga RUA "A" , QUADRA "D" LOTES  11, 12 E 13) - Iguape - ILHÉUS - BA;0.71
Ambev;RUA ALFREDO PINTO Nº 91 - SÃO JOSÉ DOS PINHAIS - PR;Ambev;RUA ALFREDO PINTO Nº 1405 - SÃO JOSÉ DOS PINHAIS - PR;0.8
Itaim São Paulo By Atlantica;R. Manuel Guedes 320, 3 Flats, São Paulo, SP, 04536-070;Double Tree by Hilton São Paulo Itaim;R. Manuel Guedes 320, São Paulo, SP, 04536-070;0.78
Tryp Iguatemi;Rua Iguatemi 150, 9 Flats, São Paulo, SP, 01451-010;Innside by Meliá São Paulo Iguatemi;Rua Iguatemi 150, São Paulo, SP, 01451-010;0.75
Senado;Avenida Henrique Valadares 28,  Rio de Janeiro, RJ, 20231-030;Centro Empresarial Senado;Avenida Henrique Valadares, 28, Centro, Rio De Janeiro/RJ, Brasil, 20231-030;0.8
Senado;Avenida Henrique Valadares 28,  Rio de Janeiro, RJ, 20231-030;BR7 SENADO;Av. Henrique Valadares, 28 - Centro, Rio de Janeiro - RJ;0.78
Centro Empresarial Barra Shopping;Av. Das Américas 4200, Rio de Janeiro, RJ,  22640-907;Shopping Center da Barra;Av. das Américas, 4666 4666, Loja 01, Rio de Janeiro, RJ, 22640-902;0.78
Centro Empresarial Barra Shopping;Av. Das Américas 4200, Rio de Janeiro, RJ,  22640-907;Centro Empresarial Barra Shopping - Edifício Montreal;Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, 22640-907;0.73
Edifício Burity;Av. Indianópolis 3096, São Paulo, SP,  04062-904;Burity;Avenida Indianopolis, 3096, Indianópolis, São Paulo/SP, Brasil, 04062-904;0.86
Edifício Park Tower - Torre ll;Av. Magalhães de Castro 4.800 - São Paulo - SP;Cidade Jardim Continental Tower;Av. Magalhães de Castro, 4.800 - São Paulo/SP;0.89
Torre Rio Sul;Rua Lauro Muller 116 - Rio de Janeiro - RJ;Shopping RioSul;Rua Lauro Müller, 116 - Botafogo, Rio de Janeiro - RJ, 22290-070;0.78
Edifício Jatobá;Avenida Marcos Penteado Ulhôa Rodrigues 939 - Barueri - SP;CBOP (Jacarandá);Av. Marcos Penteado de Ulhoa Rodrigues, 939 - Alphaville, Barueri;0.78
Cidade Jardim Continental Tower;Av. Magalhães de Castro, 4.800 - São Paulo/SP;Cidade Jardim Corporate Center;Av. Magalhães de Castro 4800, , São Paulo, SP, 05676-120;0.7
Brazilian Financial Center;Avenida Paulista, 1374, Bela Vista, São Paulo/SP, Brasil, 01310-100;Top Center Shopping;Avenida Paulista 854, Bela Vista, São Paulo, SP, 01403-000;0.7
Apto. 804 - Torre 01 - Cond. Resid. Nilo Home Square;Av. Dr Nilo Peçanha, 3361;Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;0.8
Loja 103 - Cond. NHS;Av. Dr Nilo Peçanha, 3353;Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;0.8
Loja 107 - Cond. NHS;Av. Dr Nilo Peçanha, 3363;Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;0.8
Loja 101 - Cond. NHS;Av. Dr Nilo Peçanha, 3349;Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;0.8
Loja 104 - Cond. NHS;Av. Dr Nilo Peçanha, 3355;Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;0.8
Loja 102 - Cond. NHS;Av. Dr Nilo Peçanha, 3351;Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;0.8
Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;Loja 106 - Cond. NHS;Av. Dr Nilo Peçanha, 3359;0.8
Loteramento Chacara das Pedras Lot. 23, 28, 29, 30;Av. Dr Nilo Peçanha;Loja 105 - Cond. NHS;Av. Dr Nilo Peçanha, 3357;0.8
BAY VIEW;Av.Gen. Justo, 375, Centro, Rio de Janeiro - RJ;ANM RETROFIT;Av.Gen. Justo, 365, Centro, Rio de Janeiro - RJ;0.75
Edifício Nova CEDAE;Av Presidente Vargas, 2655, Centro, Rio de Janeiro - RJ;Edifício Torre Boa Vista;Avenida Presidente Vargas, 850, Centro, Rio de Janeiro - RJ;0.78
Edifício Nova CEDAE;Av Presidente Vargas, 2655, Centro, Rio de Janeiro - RJ;Vargas;Avenida Presidente Vargas, 824, Centro, Rio de Janeiro;0.78
Loja para uso comercial;Rua Padre Pedro Pinto nº1410, Venda Nova, Belo Horizonte - MG;MATR - 27.771;Rua Padre Pedro Pinto, 1296, Loja CAEDU, Venda Nova, Belo Horizonte - MG;0.8
Lojas Americanas S.A - Maceio;Av Duque de Caxias 1792, , Maceio, AL, 26520-332;Imóvel de Maceió;Avenida Duque de Caxias, 1792. Centro. Maceió / AL;0.75
Lojas Americanas S.A - Taquatinga;Lotes 02,03,04,16,17 - CSA 01 - Quadra D , , Taguatinga, DF,;Americanas S.A - Taquatinga;Lotes 02, 03, 04, 16 e 17 - CSA 01 Quadra D, , Taguatinga, DF, 72015015;0.92
Lojas Americanas S.A - Taquatinga;Lotes 02,03,04,16,17 - CSA 01 - Quadra D , , Taguatinga, DF,;Imóvel Taguatinga;Lotes 02, 03, 04, 16, 17 - CSA 01 - Quadra D, Taguatinga, DF;0.92
Lojas Americanas S.A - Taquatinga;Lotes 02,03,04,16,17 - CSA 01 - Quadra D , , Taguatinga, DF,;Imovel de Taguatinga - Cursinho Exatas;Csa 1 Lote 02/17, 01, Lotes 02,03,04,16,17 - Csa 01 - Quadra D, Taguatinga Sul (taguatinga), Brasília/DF, Brasil, 72015-902;0.71
Lojas Americanas S.A - Belem;Av. Presidente Vargas 940, , Belem, PA, 66017-000;Imovel de Belem - Americanas;Avenida Presidente Vargas, 940, Campina, Belém/PA, Brasil, 66017-000;0.75
Imóvel Manaus - Loja B ( RW Lanchonete);Avenida Epaminondas Loja D, , Manaus, AM, 69010-090;RW Lanchonete;Avenida Epaminondas 84, Loja D, Manaus, AM, 69010-090;0.8
Bompreço Supermercados do Nordeste Ltda;Rua Parque Solon de Lucena 563, , João Pessoa, PB, 58013-131;Imóvel de João Pessoa;Parque Solon De Lucena, 563. Centro, João Pessoa/PB;0.8
Imóvel Manaus - Loja A - P.Cheng;Rua Saldanha Marinho Box AR01, , Manaus, AM, 69010-040;P. Cheng;Rua Saldanha Marinho 516, Box AR01, Manaus, AM, 69010-040;0.88
Lojas Americanas S.A;Av Princesa Isabel 475, , Vitória, ES, 29010-365;Imovel de Vitoria - Americanas;Avenida Princesa Isabel, 475, Centro, Vitória/ES, Brasil, 29010-365;0.75
Americanas S.A - Taquatinga;Lotes 02, 03, 04, 16 e 17 - CSA 01 Quadra D, , Taguatinga, DF, 72015015;Imóvel Taguatinga;Lotes 02, 03, 04, 16, 17 - CSA 01 - Quadra D, Taguatinga, DF;0.85
Magazine Torra Torra Ltda.;Avenida Eduardo Ribeiro 442, , Manaus, AM, 69010-000;Imovel de Manaus;Avenida Eduardo Ribeiro, 442, Centro, Manaus/AM, Brasil, 69010-000;0.75
Imovel de Vitoria - Americanas;Avenida Princesa Isabel, 475, Centro, Vitória/ES, Brasil, 29010-365;Imóvel de Vitória;Avenida Princesa Isabel, 475, Sem Complemento, Centro, Vitória/ES, Brasil, 29010-365;0.8
Imovel de Belem - Americanas;Avenida Presidente Vargas, 940, Campina, Belém/PA, Brasil, 66017-000;Imóvel de Belém;Avenida Presidente Vargas. 940, Sem Complemento, Campina, Belém/PA, Brasil, 66017-000;0.8
Edifício Torre Boa Vista;Avenida Presidente Vargas, 850, Centro, Rio de Janeiro - RJ;Vargas;Avenida Presidente Vargas, 824, Centro, Rio de Janeiro;0.78
Condomínio Pateo Santa Fé;Avenida Professora Déa Ehrhardt Carvalho, 100 - Casa 8B - Páteo Santa Fé - Campinas - SP;SANTAFE;Av. Professora Déa Ehrhardt Carvalho, 100 - Casa 8B - Páteo Santa Fé;0.92
Insper Instituto de Pesquisa;Rua Quatá 300 , São Paulo, SP, 04546-042;Condomínio Continental Square Fariala Lima - Torre Comercial;Rua Quatá 1777, , São Paulo, SP, 04546-045;0.71
Condomínio Tech Town;Rodovia SP 101, Km 9,5 - Hortolândia - SP;110307_26502 (Galpão Hortolândia II);Rod. SP 101, Km 9,5;0.86
Centro Empresarial Atibaia (Módulos 12 a 14 Ed. Safira);Av. Tégula, 888, Ponte Alta - Atibaia - SP;ATIBA 091311;Av. Tégula, 888, Ponte Alta, 12952-829;0.83
Centro Empresarial Atibaia (Módulos 12 a 14 Ed. Safira);Av. Tégula, 888, Ponte Alta - Atibaia - SP;MATR 91314;Avenida Tégula, 888, bairro Ponte Alta;0.71
BTLG Regis;Estrada Ferreira Guedes, 784, Sem Complemento, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150;BTLG - Embu | SP;Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150;0.83
Edifício Madison;Rua Gomes de Carvalho, 1.195, Vila Olimpia, São Paulo - SP;Edifício Sky Corporate;R. Gomes de Carvalho, 1996, Vila Olímpia, São Paulo - SP;0.73
Edifício Madison;Rua Gomes de Carvalho, 1.195, Vila Olimpia, São Paulo - SP;Edifício Mykonos - escritório 51;Rua Gomes de Carvalho, 1356, Vila Olímpia - São Paulo - SP;0.73
Edifício Athenas;Rua Dr. Fernandes Coelho, 64, Pinheiros, São Paulo - SP;PANTHE_5;Rua Dr. Fernandes Coelho, 85 - Pinheiros, São Paulo - SP;0.78
5124 - FAZENDA MARACUJÁ;SÃO JOSÉ DE MIPIBU - RN;451 - FAZENDA MUNDO NOVO I;AREZ/SÃO JOSÉ DE MIPIBU - RN;0.8
CONDOMINIO WT MORUMBI;Avenida Das Nacoes Unidas, 14261, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000;Rochavera - Torre B;Avenida Das Nacoes Unidas, 14171, Vila Gertrudes, São Paulo/SP, Brasil, 00004-794;0.83
CONDOMINIO WT MORUMBI;Avenida Das Nacoes Unidas, 14261, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000;Condomínio Parque da Cidade - Torre Sucupira;Avenida Das Nacoes Unidas, 14401, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000;0.83
Ag. Av. Francisco Morato;Av. Prof. Francisco Morato, 2004, São Paulo-SP;Ag. Estilo Butantã;Av. Prof. Francisco Morato, 1214, São Paulo-SP;0.75
Ag. Estilo Berrini;Av. Eng. Luis Carlos Berrini, 559, São Paulo-SP;Estanplaza Berrini;Av. Eng. Luís Carlos Berrini 853, , São Paulo, SP, 04571-000;0.7
Ag. Pedro Pinho;Av. Gal. Pedro Pinho, 641, Osasco-SP;Ag. Osasco;Av. Gal. Pedro Pinho, 635, Osasco-SP;0.71
Ag. Demarchi;Av. Maria Servidei Demarchi, 1662, São Bernardo do Campo-SP;Ag. São Bernardo do Campo;Av. Maria Servidei Demarchi, 1658, São Bernardo do Campo-SP;0.8
DAG217;Propriedade denominado Oco d'agua Fazenda Descoberta, objeto de matrícula nº 217, livro 2-RG - Registro de Imóveis e Hipotecas, Comarca de Campo Formoso/Bahia.;DAG3493;Propriedade denominado Oco d'agua, objeto de matrícula nº 3493, livro 2-P - Registro de Imóveis e Hipotecas, Comarca de Campo Formoso/Bahia.;0.76
DAG217;Propriedade denominado Oco d'agua Fazenda Descoberta, objeto de matrícula nº 217, livro 2-RG - Registro de Imóveis e Hipotecas, Comarca de Campo Formoso/Bahia.;DES7156;Propriedade denominado Fazenda Descoberta, objeto de matrícula nº 7156, livro 2-BD - Registro de Imóveis e Hipotecas, Comarca de Campo Formoso/Bahia.;0.72
PUR152;Propriedade denominado PURÃO I, objeto de matrícula nº 152, livro 2-Município de Riachuelo/RN.;CAC10319;Propriedade denominado Fazenda Cachoeira I, objeto de matrícula nº 152, livro 2-Município de Riachuelo/BA.;0.71
Ed. Praia de Botafogo;Praia de Botafogo, 440, Botafogo, Rio de Janeiro - RJ;Vaga 322;Praia de Botafogo, 228, Botafogo, Rio de Janeiro - RJ;0.71
Ed. Praia de Botafogo;Praia de Botafogo, 440, Botafogo, Rio de Janeiro - RJ;Centro Empresarial Botafogo;Praia de Botafogo, 300, Botafogo, Rio de Janeiro - RJ;0.71
Torre Ebony;Av. Das Nações Unidas, 14171, São Paulo - SP;Complexo Rochaverá;Avenida das Nações Unidas 14171, São Paulo, SP, 04794-000;0.88
Torre Ebony;Av. Das Nações Unidas, 14171, São Paulo - SP;ED NAÇÕES UNIDAS;AV DAS NAÇÕES UNIDAS, 19707, SÃO PAULO - SP;0.75
São Luis;Avenida São Luís Rei de França, 32, Turu - São Luís/MA;Kroton - São Luis;Avenida São Luís Rei de França, 32, Turu;0.89
Thera Coporate;Av. Engenheiro Luis Carlos Berrini 105, São Paulo, SP, 04571-010;Edifício Thera Corporate;Av. Engenheiro Luis Carlos Berrini, nº 105 - São Paulo, SP;0.8
Edificio Brascan Century Corporate - Bloco C;Rua Joaquim Floriano 466, São Paulo, SP, 04534-002;Edifício JF 100;Rua  Joaquim Floriano, 100 - São Paulo/SP;0.75
Edificio Brascan Century Corporate - Bloco C;Rua Joaquim Floriano 466, São Paulo, SP, 04534-002;Edifício Result Corporate Plaza;Rua  Joaquim Floriano, 413 - São Paulo/SP;0.75
AG. MARINGA;AV.DUQUE DE CAXIAS 448, MARINGA-PR;MARING_;AV.DUQUE DE CAXIAS 448;0.8
AG. GENERAL VALADAO;PRACA GENERAL VALADAO,377, ARACAJU-SE;ARACAJU;PRACA GENERAL VALADÃO,377;0.8
AG. FLORIANOPOLIS;PRACA XV DE NOVEMBRO, 321, FLORIANOPOLIS-SC;AG. PCA XV NOVEMBRO/BESC;Praça XV de Novembro, 329, FLORIANOPOLIS-SC;0.71
AG. FLORIANOPOLIS;PRACA XV DE NOVEMBRO, 321, FLORIANOPOLIS-SC;FLORIPA;PRACA XV DE NOVEMBRO, 321;0.83
AG. ARACATUBA;PCA. RUI BARBOSA, 322, ARACATUBA-SP;ARAÇATUB;PCA. RUI BARBOSA, 322;0.8
AG. NITEROI (RJ);AV.ERNANI AMARAL PEIXOTO, 347, NITEROI-RJ;A_NITERO;AV.ERNANI AMARAL PEIXOTO, 347;0.8
AG.BELEM-CENTRO(PA);AV.PRES.VARGAS,248, BELEM-PA;BELEM;AV.PRES.VARGAS,248;0.75
AG. ALDEOTA;AV.SANTOS DUMONT,2889, FORTALEZA-CE;FORTALEZ;AV.SANTOS DUMONT,2889;0.75
AG. NOSSA SENHORA LAPA;R.NOSSA SENHORA DA LAPA, 281, SAO PAULO-SP;LAPA;R.NOSSA SENHORA DA LAPA, 281;0.71
CSL SAO PAULO;RUA SAO BENTO, 483 / RUA LIBERO BADARO, 582, SAO PAULO-SP;CSL_CACE;RUA SAO BENTO, 483 / RUA LIBERO BADARO, 582;0.88
AG. CENTRO - SOROCABA(SP);RUA XV DE NOVEMBRO, N. 191, SOROCABA-SP;SORO_CEN;RUA XV DE NOVEMBRO, N. 191;0.83
AG. CARIJOS;R.ESPIRITO SANTO,571, ESQ. C/ RUA CARIJÓS, 185, BELO HORIZONTE-MG;BH_CARIJ;R.ESPIRITO SANTO,571, ESQ. C/ RUA CARIJÓS, 185;0.8
AG. PCA XV NOVEMBRO/BESC;Praça XV de Novembro, 329, FLORIANOPOLIS-SC;FLO_BESC;Praça XV de Novembro, 329;0.83
AG. MANAUS;RUA GUILHERME MOREIRA, 315, MANAUS-AM;MANAUS;Rua Guilherme Moreira, 315;0.8
AG. UBERLANDIA;AV. AFONSO PENA, 745, ESQUINA R. QUINTINO BOCAIUVA, UBERLANDIA-MG;UBERLAND;AV. AFONSO PENA, 745, ESQUINA R. QUINTINO BOCAIUVA;0.89
AG. PC.RUI BARBOSA-BAURU;PCA.RUI BARBOSA,1-55/R.ANT. ALVES, 9-38, BAURU-SP;BAURU;PCA.RUI BARBOSA,1-55/R.ANT. ALVES, 9-38;0.89
AG. CATEDRAL-SOROCABA;R.XV DE NOVEMBRO,63/67, SOROCABA-SP;SORO_CAT;R.XV DE NOVEMBRO,63/67;0.83
AG. TAMOIOS BH;R.TAMOIOS,731/R. GUARANI, 504, BELO HORIZONTE-MG;BH_TAMOI;R.TAMOIOS,731/R. GUARANI, 504;0.71
AG CAXIAS SUL;RUA MARQUES DO HERVAL, 1354, EDIFICO SATELITE, CAXIAS DO SUL-RS;CAXIAS_S;RUA MARQUES DO HERVAL, 1354, EDIFICO SATELITE;0.78
Imóvel RB 115;Av. Rio Branco , 115 - 2º andar -Rio de Janeiro;RB 115;Avenida Rio Branco, 115, Centro, Rio de Janeiro;0.75
Ed. Vitor Malzoni - Torre Sul;Av. Brig. Faria Lima 3477, , São Paulo, SP, 04538-133;Condomínio Edifício Praça Faria Lima;Av. Brig. Faria Lima 4221, , São Paulo, SP, 04538-133;0.78
Ed. Vitor Malzoni - Torre Sul;Av. Brig. Faria Lima 3477, , São Paulo, SP, 04538-133;Condomínio FL Corporate;Av. Brig. Faria Lima 4300, , São Paulo, SP, 04538-133;0.78
Ed. Vitor Malzoni - Torre Sul;Av. Brig. Faria Lima 3477, , São Paulo, SP, 04538-133;Edificio Faria Lima 4441;Av. Brig. Faria Lima 4400, São Paulo, SP, 04551-060;0.78
Loja 01 Shopping Morumbi;Avenida Roque Petroni Junior 1089, 1089, Loja 01, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-900;O PARQUE;Av. Roque Petroni Júnior, 630 - Jardim das Acacias, São Paulo - SP, 04707-000;0.77
Loja 01 Shopping Morumbi;Avenida Roque Petroni Junior 1089, 1089, Loja 01, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-900;Ibis Budget Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;0.73
Loja A Shopping Barra;Avenida Das Americas 4666, 4666, Loja A, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-902;Downtown Shopping;Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900;0.77
Loja A Shopping Barra;Avenida Das Americas 4666, 4666, Loja A, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-902;Centro Empresarial Barra Shopping - Edifício Montreal;Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, 22640-907;0.77
Loja A Shopping Barra;Avenida Das Americas 4666, 4666, Loja A, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-902;Montreal - Centro Empresarial Barra Shopping;Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-102;0.85
Loja A Shopping Barra;Avenida Das Americas 4666, 4666, Loja A, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-902;Barra Medical Center;Avenida Das Americas, 6205, Sem Complemento, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22793-080;0.73
Loja A Shopping Barra;Avenida Das Americas 4666, 4666, Loja A, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-902;Downtown (varejo dos blocos 5 7 e 17);Avenida Das Americas, 500, Sem Complemento, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-100;0.73
Shopping Jardim Sul;Av. Giovanni Gronchi 5819, Shopping, São Paulo, SP, 05724-003;Shopping Jardim Sul - 40%;Av. Giovanni Gronchi, 5819, Morumbi, São Paulo/SP;0.78
Predio em Sao Bernardo;Estrada Samuel Aizemberg, 1707, Alves Dias, Sao Bernardo Do Campo/SP, Brasil, 09851-550;Votorantim Plus -  Bloco A;Estrada Samuel Aizemberg, 1707, Sem Complemento, Alves Dias, Sao Bernardo Do Campo/SP, Brasil, 09851-550;0.86
Shopping Morumbi Town;Av. Giovanni Gronchi 5.930, Vila Andrade, São Paulo, SP, 05724-002;Shopping Mourumbi Town;Av. Giovanni Gronchi, 5930 - Vila Andrade, São Paulo - SP, 05724-002;0.73
LOJA 2;LOJA 02 - RUA JOSÉ LOURENÇO,710 - SÃO PEDRO - JUIZ DE FORA;LOJA 2;LOJA 02 - RUA JOSÉ LOURENÇO,710 - SÃOPEDRO - JUIZ DE FORA;0.7
LOJA 2;LOJA 02 - RUA JOSÉ LOURENÇO,710 - SÃO PEDRO - JUIZ DE FORA;LOJA 2;Rua José Lourenço, 710 - São Pedro, Juiz de Fora - MG.;0.9
